taxon_name,name_aligned,source,taxon_status,taxonomicSourceID,name_aligned_family,name_aligned_order
Hibiscus rosa-sinensis,Hibiscus rosa-sinensis,col,Accepted,COL:6M78M,Malvaceae,Malvales
Hirtella brachystachys,Hirtella brachystachys,gbif,Accepted,GBIF:3745475,Chrysobalanaceae,Malpighiales
Ipomoea marabensis,Ipomoea marabensis,col,Accepted,COL:3PWGN,Convolvulaceae,Solanales
Iryanthera lanceifolia,Iryanthera lanceifolia,gbif,Accepted,GBIF:3743930,Myristicaceae,Magnoliales
Jacquemontia guyanensis,Jacquemontia guyanensis,col,Accepted,COL:3QJTM,Convolvulaceae,Solanales
Justicia viridiflavescens,Justicia viridiflavescens,col,Accepted,COL:3QXKD,Acanthaceae,Lamiales
Kalanchoe houghtonii,Kalanchoe houghtonii,gbif,Accepted,GBIF:4199772,Crassulaceae,Saxifragales
Lafoensia peruviana,Lafoensia peruviana,gbif,Accepted,GBIF:7909347,Lythraceae,Myrtales
Leptobalanus parviflorus,Leptobalanus parviflorus,col,Accepted,COL:3TJYP,Chrysobalanaceae,Malpighiales
Lessingianthus bardanioides,Lessingianthus bardanioides,col,Accepted,COL:722R9,Asteraceae,Asterales
Licania habantha,Licania habantha,gbif,Accepted,GBIF:3745561,Chrysobalanaceae,Malpighiales
Licaria canella,Licaria canella,col,Accepted,COL:6PWDD,Lauraceae,Laurales
Lomariopsis nigropaleata,Lomariopsis nigropaleata,col,Accepted,COL:3VWTR,Polypodiaceae,Polypodiineae
Ludwigia sedoides,Ludwigia sedoides,col,Accepted,COL:6QQDH,Onagraceae,Myrtales
Lycopodium camporum,Lycopodium camporum,gbif,Accepted,GBIF:8307126,Lycopodiaceae,Lycopodiales
Mandevilla myriophyllum,Mandevilla myriophyllum,col,Accepted,COL:72SYS,Apocynaceae,Gentianales
Mandevilla symphytocarpa,Mandevilla symphytocarpa,col,Accepted,COL:6QSYP,Apocynaceae,Gentianales
Mandevilla blanda,Mandevilla blanda,gbif,Accepted,GBIF:7430440,Apocynaceae,Gentianales
