taxon_name,name_aligned,source,taxon_status,taxonomicSourceID,name_aligned_family,name_aligned_order
Diplazium centripetale,Diplazium centripetale,wcvp,Accepted,3149131,Aspleniaceae,Aspleniineae
Diplazium cristatum,Diplazium cristatum,wcvp,Accepted,3149159,Aspleniaceae,Aspleniineae
Diplazium grandifolium,Diplazium grandifolium,wcvp,Accepted,3149880,Aspleniaceae,Aspleniineae
Diplazium lechleri,Desmophlebium lechleri,wcvp,Synonym,3145625,Aspleniaceae,Aspleniineae
Diplazium lindbergii,Diplazium lindbergii,wcvp,Accepted,3149936,Aspleniaceae,Aspleniineae
Diplazium pinnatifidum,Diplazium pinnatifidum,wcvp,Accepted,3150083,Aspleniaceae,Aspleniineae
Diplazium striatum,Diplazium striatum,wcvp,Accepted,3149278,Aspleniaceae,Aspleniineae
Diplazium tabalosense,Diplazium tabalosense,wcvp,Accepted,3149298,Aspleniaceae,Aspleniineae
Goniopteris abrupta,Thelypteris abrupta,wcvp,Synonym,3169979,Aspleniaceae,Aspleniineae
Goniopteris juruensis,Thelypteris juruensis,wcvp,Synonym,3170180,Aspleniaceae,Aspleniineae
Goniopteris poiteana,Thelypteris poiteana,wcvp,Synonym,3170309,Aspleniaceae,Aspleniineae
Goniopteris reptans,Thelypteris reptans,wcvp,Synonym,3170321,Aspleniaceae,Aspleniineae
Goniopteris riograndensis,Thelypteris riograndensis,wcvp,Synonym,3189156,Aspleniaceae,Aspleniineae
Goniopteris scabra,Thelypteris scabra,wcvp,Synonym,3170364,Aspleniaceae,Aspleniineae
Goniopteris tristis,Thelypteris tristis,wcvp,Synonym,3170465,Aspleniaceae,Aspleniineae
Hemidictyum marginatum,Hemidictyum marginatum,wcvp,Accepted,3145627,Aspleniaceae,Aspleniineae
Hymenasplenium delitescens,Hymenasplenium delitescens,wcvp,Accepted,3148023,Aspleniaceae,Aspleniineae
Lomaridium ensiforme,Blechnum ensiforme,wcvp,Synonym,3175704,Aspleniaceae,Aspleniineae
Lomariocycas aurata,Blechnum auratum,wcvp,Synonym,3175881,Aspleniaceae,Aspleniineae
Lomariocycas schomburgkii,Blechnum schomburgkii,wcvp,Synonym,3175923,Aspleniaceae,Aspleniineae
Lomariocycas werckleana,Blechnum werckleanum,wcvp,Synonym,3175953,Aspleniaceae,Aspleniineae
Macrothelypteris torresiana,Macrothelypteris torresiana,wcvp,Accepted,3148089,Aspleniaceae,Aspleniineae
Meniscium arborescens,Thelypteris arborescens,wcvp,Synonym,3170697,Aspleniaceae,Aspleniineae
Meniscium chrysodioides,Thelypteris chrysodioides,wcvp,Synonym,3170702,Aspleniaceae,Aspleniineae
Meniscium longifolium,Thelypteris longifolia,wcvp,Synonym,3170729,Aspleniaceae,Aspleniineae
Meniscium macrophyllum,Thelypteris macrophylla,wcvp,Synonym,3170742,Aspleniaceae,Aspleniineae
Meniscium maxonianum,Thelypteris maxoniana,wcvp,Synonym,3170743,Aspleniaceae,Aspleniineae
Meniscium serratum,Thelypteris serrata,wcvp,Synonym,3170795,Aspleniaceae,Aspleniineae
Parablechnum glaziovii,Blechnum glaziovii,wcvp,Synonym,3176032,Aspleniaceae,Aspleniineae
Pelazoneuron kunthii,Thelypteris kunthii,wcvp,Synonym,3172707,Aspleniaceae,Aspleniineae
Salpichlaena hookeriana,Salpichlaena hookeriana,wcvp,Accepted,3150322,Aspleniaceae,Aspleniineae
Salpichlaena volubilis,Salpichlaena volubilis,wcvp,Accepted,3150323,Aspleniaceae,Aspleniineae
Telmatoblechnum serrulatum,Telmatoblechnum serrulatum,wcvp,Accepted,2998707,Aspleniaceae,Aspleniineae
Thelypteris arborescens,Thelypteris arborescens,wcvp,Accepted,3170697,Aspleniaceae,Aspleniineae
Thelypteris biformata,Thelypteris biformata,wcvp,Accepted,3170029,Aspleniaceae,Aspleniineae
Thelypteris decussata,Thelypteris decussata,wcvp,Accepted,3169503,Aspleniaceae,Aspleniineae
Thelypteris dentata,Thelypteris dentata,wcvp,Accepted,3172522,Aspleniaceae,Aspleniineae
Thelypteris glandulosa,Thelypteris malayensis,wcvp,Illegitimate,3171976,Aspleniaceae,Aspleniineae
Thelypteris hispidula,Thelypteris hispidula,wcvp,Accepted,3172979,Aspleniaceae,Aspleniineae
Thelypteris interrupta,Thelypteris interrupta,wcvp,Accepted,3170567,Aspleniaceae,Aspleniineae
Thelypteris juruensis,Thelypteris juruensis,wcvp,Accepted,3170180,Aspleniaceae,Aspleniineae
Thelypteris leprieurii,Thelypteris leprieurii,wcvp,Accepted,3169586,Aspleniaceae,Aspleniineae
Thelypteris macrophylla,Thelypteris macrophylla,wcvp,Accepted,3170742,Aspleniaceae,Aspleniineae
Thelypteris opposita,Thelypteris opposita,wcvp,Accepted,3169008,Aspleniaceae,Aspleniineae
Thelypteris opulenta,Thelypteris opulenta,wcvp,Accepted,3197284,Aspleniaceae,Aspleniineae
Thelypteris patens,Thelypteris patens,wcvp,Accepted,3172920,Aspleniaceae,Aspleniineae
Thelypteris serrata,Thelypteris serrata,wcvp,Accepted,3170795,Aspleniaceae,Aspleniineae
Acanthospermum australe,Acanthospermum australe,wcvp,Accepted,2922478,Asteraceae,Asterales
Acmella brachyglossa,Acmella brachyglossa,wcvp,Accepted,3123703,Asteraceae,Asterales
Acmella ciliata,Acmella ciliata,wcvp,Accepted,3123723,Asteraceae,Asterales
Acmella oleracea,Acmella oleracea,wcvp,Accepted,2929111,Asteraceae,Asterales
Adenostemma brasilianum,Adenostemma brasilianum,wcvp,Accepted,3128860,Asteraceae,Asterales
Ageratum conyzoides,Ageratum conyzoides,wcvp,Accepted,3129224,Asteraceae,Asterales
Ambrosia artemisiifolia,Ambrosia artemisiifolia,wcvp,Accepted,2922382,Asteraceae,Asterales
Ambrosia cumanensis,Ambrosia cumanensis,wcvp,Accepted,3119482,Asteraceae,Asterales
Artemisia vulgaris,Artemisia vulgaris,wcvp,Accepted,2922622,Asteraceae,Asterales
Ayapana amygdalina,Ayapana amygdalina,wcvp,Accepted,3131946,Asteraceae,Asterales
Ayapana triplinervis,Ayapana triplinervis,wcvp,Accepted,3131980,Asteraceae,Asterales
Baccharis caprariifolia,Baccharis caprariifolia,wcvp,Accepted,3097929,Asteraceae,Asterales
Baccharis oblongifolia,Baccharis oblongifolia,wcvp,Accepted,3098322,Asteraceae,Asterales
Baccharis varians,Baccharis varians,wcvp,Accepted,3098823,Asteraceae,Asterales
Baccharis vitis-idaea,Baccharis vitis-idaea,wcvp,Accepted,3098506,Asteraceae,Asterales
Bidens bipinnata,Bidens bipinnata,wcvp,Accepted,2922697,Asteraceae,Asterales
Bidens cynapiifolia,Bidens cynapiifolia,wcvp,Accepted,2925618,Asteraceae,Asterales
Calea abelioides,Calea abelioides,wcvp,Accepted,3117068,Asteraceae,Asterales
Calea lucidivenia,Calea lucidivenia,wcvp,Accepted,3118308,Asteraceae,Asterales
Calea mediterranea,Calea mediterranea,wcvp,Accepted,3118046,Asteraceae,Asterales
Calyptocarpus brasiliensis,Calyptocarpus brasiliensis,wcvp,Accepted,3120164,Asteraceae,Asterales
Centratherum punctatum,Centratherum punctatum,wcvp,Accepted,3052645,Asteraceae,Asterales
Chromolaena laevigata,Chromolaena laevigata,wcvp,Accepted,3130000,Asteraceae,Asterales
Chromolaena maximiliani,Chromolaena maximiliani,wcvp,Accepted,3129323,Asteraceae,Asterales
Chromolaena odorata,Chromolaena odorata,wcvp,Accepted,3129557,Asteraceae,Asterales
Chromolaena pedalis,Chromolaena pedalis,wcvp,Accepted,3129457,Asteraceae,Asterales
Chromolaena pharcidodes,Chromolaena pharcidodes,wcvp,Accepted,3129625,Asteraceae,Asterales
Chromolaena pungens,Chromolaena pungens,wcvp,Accepted,3129642,Asteraceae,Asterales
Chromolaena squalida,Chromolaena squalida,wcvp,Accepted,3129696,Asteraceae,Asterales
Chromolaena tyleri,Chromolaena tyleri,wcvp,Accepted,3129472,Asteraceae,Asterales
Chrysolaena cognata,Chrysolaena cognata,wcvp,Accepted,3051131,Asteraceae,Asterales
Chrysolaena obovata,Chrysolaena obovata,wcvp,Accepted,3051163,Asteraceae,Asterales
Chrysolaena platensis,Chrysolaena platensis,wcvp,Accepted,3051171,Asteraceae,Asterales
Clibadium surinamense,Clibadium surinamense,wcvp,Accepted,3119966,Asteraceae,Asterales
Clibadium sylvestre,Clibadium sylvestre,wcvp,Accepted,3119979,Asteraceae,Asterales
Cosmos bipinnatus,Cosmos bipinnatus,wcvp,Accepted,2926450,Asteraceae,Asterales
Cosmos caudatus,Cosmos caudatus,wcvp,Accepted,3117527,Asteraceae,Asterales
Cosmos sulphureus,Cosmos sulphureus,wcvp,Accepted,3117604,Asteraceae,Asterales
Cyanthillium cinereum,Cyanthillium cinereum,wcvp,Accepted,2929223,Asteraceae,Asterales
Echinocoryne schwenkiifolia,Echinocoryne schwenkiifolia,wcvp,Accepted,3050575,Asteraceae,Asterales
Eclipta prostrata,Eclipta prostrata,wcvp,Accepted,2901074,Asteraceae,Asterales
Egletes viscosa,Egletes viscosa,wcvp,Accepted,3097572,Asteraceae,Asterales
Elaphandra ulei,Elaphandra ulei,wcvp,Accepted,3120281,Asteraceae,Asterales
Elephantopus elongatus,Elephantopus elongatus,wcvp,Accepted,3052955,Asteraceae,Asterales
Elephantopus hirtiflorus,Elephantopus hirtiflorus,wcvp,Accepted,3052959,Asteraceae,Asterales
Elephantopus mollis,Elephantopus mollis,wcvp,Accepted,3052971,Asteraceae,Asterales
Eleutheranthera ruderalis,Eleutheranthera ruderalis,wcvp,Accepted,3120304,Asteraceae,Asterales
Emilia coccinea,Emilia coccinea,wcvp,Accepted,3086242,Asteraceae,Asterales
Emilia fosbergii,Emilia fosbergii,wcvp,Accepted,3086243,Asteraceae,Asterales
Emilia javanica,Emilia javanica,wcvp,Accepted,3086278,Asteraceae,Asterales
Emilia sonchifolia,Emilia sonchifolia,wcvp,Accepted,3086349,Asteraceae,Asterales
Enydra fluctuans,Enydra fluctuans,wcvp,Accepted,3117838,Asteraceae,Asterales
Epaltes brasiliensis,Epaltes brasiliensis,wcvp,Accepted,3114940,Asteraceae,Asterales
Erechtites hieraciifolius,Erechtites hieraciifolius,wcvp,Accepted,3084164,Asteraceae,Asterales
Erechtites valerianifolius,Erechtites valerianifolius,wcvp,Accepted,3084229,Asteraceae,Asterales
Erigeron bonariensis,Erigeron bonariensis,wcvp,Accepted,3104918,Asteraceae,Asterales
Erigeron floribundus,Erigeron floribundus,wcvp,Accepted,3105484,Asteraceae,Asterales
Ethulia conyzoides,Ethulia conyzoides,wcvp,Accepted,3054585,Asteraceae,Asterales
Eurydochus bracteatus,Eurydochus bracteatus,wcvp,Accepted,3037167,Asteraceae,Asterales
Exostigma notobellidiastrum,Exostigma notobellidiastrum,wcvp,Accepted,3099156,Asteraceae,Asterales
Galinsoga parviflora,Galinsoga parviflora,wcvp,Accepted,3125116,Asteraceae,Asterales
Gamochaeta americana,Gamochaeta americana,wcvp,Accepted,3093012,Asteraceae,Asterales
Glossarion bilabiatum,Glossarion bilabiatum,wcvp,Accepted,3037139,Asteraceae,Asterales
Glossarion rhodanthum,Glossarion rhodanthum,wcvp,Accepted,3037141,Asteraceae,Asterales
Gongylolepis martiana,Gongylolepis martiana,wcvp,Accepted,3037160,Asteraceae,Asterales
Gongylolepis oblanceolata,Gongylolepis oblanceolata,wcvp,Accepted,3037161,Asteraceae,Asterales
Gongylolepis pedunculata,Gongylolepis pedunculata,wcvp,Accepted,3037166,Asteraceae,Asterales
Guayania bulbosa,Guayania bulbosa,wcvp,Accepted,3133492,Asteraceae,Asterales
Guayania cerasifolia,Guayania cerasifolia,wcvp,Accepted,3133498,Asteraceae,Asterales
Guayania roupalifolia,Guayania roupalifolia,wcvp,Accepted,3133526,Asteraceae,Asterales
Gymnanthemum amygdalinum,Gymnanthemum amygdalinum,wcvp,Accepted,3055648,Asteraceae,Asterales
Gymnocoronis spilanthoides,Gymnocoronis spilanthoides,wcvp,Accepted,3128956,Asteraceae,Asterales
Hebeclinium macrophyllum,Hebeclinium macrophyllum,wcvp,Accepted,3133334,Asteraceae,Asterales
Heterocondylus vitalbae,Heterocondylus vitalbae,wcvp,Accepted,3132109,Asteraceae,Asterales
Ichthyothere terminalis,Ichthyothere terminalis,wcvp,Accepted,3120026,Asteraceae,Asterales
Imeria memorabilis,Imeria memorabilis,wcvp,Accepted,3133061,Asteraceae,Asterales
Jaegeria hirta,Jaegeria hirta,wcvp,Accepted,3125464,Asteraceae,Asterales
Lasianthaea helianthoides,Lasianthaea helianthoides,wcvp,Accepted,3120354,Asteraceae,Asterales
Lepidaploa arenaria,Lepidaploa arenaria,wcvp,Accepted,3051296,Asteraceae,Asterales
Lepidaploa balansae,Lepidaploa balansae,wcvp,Accepted,3051318,Asteraceae,Asterales
Lepidaploa cleocalderonae,Lepidaploa cleocalderonae,wcvp,Accepted,3051401,Asteraceae,Asterales
Lepidaploa grisea,Lepidaploa grisea,wcvp,Accepted,3048707,Asteraceae,Asterales
Lepidaploa imeriensis,Lepidaploa imeriensis,wcvp,Accepted,3048625,Asteraceae,Asterales
Lessingianthus onopordioides,Lessingianthus onopordioides,wcvp,Accepted,3051813,Asteraceae,Asterales
Lessingianthus scabrifoliatus,Lessingianthus scabrifoliatus,wcvp,Accepted,3051896,Asteraceae,Asterales
Melampodium camphoratum,Unxia camphorata,wcvp,Synonym,3125522,Asteraceae,Asterales
Melampodium divaricatum,Melampodium divaricatum,wcvp,Accepted,3125565,Asteraceae,Asterales
Melanthera nivea,Melanthera nivea,wcvp,Accepted,3120563,Asteraceae,Asterales
Mikania aschersonii,Mikania aschersonii,wcvp,Accepted,3127410,Asteraceae,Asterales
Mikania banisteriae,Mikania banisteriae,wcvp,Accepted,2928780,Asteraceae,Asterales
Mikania chlorolepis,Mikania chlorolepis,wcvp,Accepted,3127884,Asteraceae,Asterales
Mikania congesta,Mikania congesta,wcvp,Accepted,3127908,Asteraceae,Asterales
Mikania cordifolia,Mikania cordifolia,wcvp,Accepted,3127951,Asteraceae,Asterales
Mikania decora,Mikania decora,wcvp,Accepted,3128009,Asteraceae,Asterales
Mikania duidensis,Mikania duidensis,wcvp,Accepted,3128026,Asteraceae,Asterales
Mikania guaco,Mikania guaco,wcvp,Accepted,2928833,Asteraceae,Asterales
Mikania hookeriana,Mikania hookeriana,wcvp,Accepted,3128136,Asteraceae,Asterales
Mikania lindleyana,Mikania lindleyana,wcvp,Accepted,3128224,Asteraceae,Asterales
Mikania longiacuminata,Mikania longiacuminata,wcvp,Accepted,3128117,Asteraceae,Asterales
Mikania lucida,Mikania lucida,wcvp,Accepted,3128227,Asteraceae,Asterales
Mikania mathewsii,Mikania mathewsii,wcvp,Accepted,3127978,Asteraceae,Asterales
Mikania michelangeliana,Mikania michelangeliana,wcvp,Accepted,3128242,Asteraceae,Asterales
Mikania micrantha,Mikania micrantha,wcvp,Accepted,3128264,Asteraceae,Asterales
Mikania neblinensis,Mikania neblinensis,wcvp,Accepted,3128298,Asteraceae,Asterales
Mikania nemorosa,Mikania nemorosa,wcvp,Accepted,3128306,Asteraceae,Asterales
Mikania oblongifolia,Mikania oblongifolia,wcvp,Accepted,3128124,Asteraceae,Asterales
Mikania obtusata,Mikania obtusata,wcvp,Accepted,3128330,Asteraceae,Asterales
Mikania parviflora,Mikania parviflora,wcvp,Accepted,3128382,Asteraceae,Asterales
Mikania parvifolia,Mikania parvifolia,wcvp,Accepted,3128384,Asteraceae,Asterales
Mikania psilostachya,Mikania psilostachya,wcvp,Accepted,3128561,Asteraceae,Asterales
Mikania rondonensis,Mikania rondonensis,wcvp,Accepted,3128604,Asteraceae,Asterales
Mikania sprucei,Mikania sprucei,wcvp,Accepted,3128658,Asteraceae,Asterales
Mikania trinitaria,Mikania trinitaria,wcvp,Accepted,3128791,Asteraceae,Asterales
Mikania vitifolia,Mikania vitifolia,wcvp,Accepted,3128727,Asteraceae,Asterales
Montanoa bipinnatifida,Montanoa bipinnatifida,wcvp,Accepted,3123464,Asteraceae,Asterales
Mutisia campanulata,Mutisia campanulata,wcvp,Accepted,3038334,Asteraceae,Asterales
Mutisia speciosa,Mutisia speciosa,wcvp,Accepted,3038536,Asteraceae,Asterales
Neblinaea promontoriorum,Neblinaea promontoriorum,wcvp,Accepted,3037172,Asteraceae,Asterales
Neurolaena lobata,Neurolaena lobata,wcvp,Accepted,3118061,Asteraceae,Asterales
Orthopappus angustifolius,Orthopappus angustifolius,wcvp,Accepted,3054084,Asteraceae,Asterales
Pacourina edulis,Pacourina edulis,wcvp,Accepted,3054115,Asteraceae,Asterales
Pectis elongata,Pectis elongata,wcvp,Accepted,3118900,Asteraceae,Asterales
Pectis linifolia,Pectis linifolia,wcvp,Accepted,3118960,Asteraceae,Asterales
Pentacalia neblinensis,Pentacalia neblinensis,wcvp,Accepted,3084474,Asteraceae,Asterales
Pentacalia yapacana,Pentacalia yapacana,wcvp,Accepted,3084599,Asteraceae,Asterales
Piptocarpha barrosoana,Piptocarpha barrosoana,wcvp,Accepted,3053924,Asteraceae,Asterales
Piptocarpha opaca,Piptocarpha opaca,wcvp,Accepted,3053992,Asteraceae,Asterales
Piptocarpha poeppigiana,Piptocarpha poeppigiana,wcvp,Accepted,3054030,Asteraceae,Asterales
Piptocarpha ramiflora,Piptocarpha ramiflora,wcvp,Accepted,3054054,Asteraceae,Asterales
Piptocoma discolor,Piptocoma discolor,wcvp,Accepted,3052562,Asteraceae,Asterales
Piptocoma niceforoi,Piptocoma niceforoi,wcvp,Accepted,3052987,Asteraceae,Asterales
Piptocoma schomburgkii,Piptocoma schomburgkii,wcvp,Accepted,3053023,Asteraceae,Asterales
Pluchea sagittalis,Baccharis sagittalis,wcvp,Invalid,3098613,Asteraceae,Asterales
Pollalesta discolor,Piptocoma discolor,wcvp,Synonym,3052562,Asteraceae,Asterales
Porophyllum ruderale,Porophyllum ruderale,wcvp,Accepted,2928945,Asteraceae,Asterales
Praxelis asperulacea,Praxelis asperulacea,wcvp,Accepted,3131260,Asteraceae,Asterales
Praxelis clematidea,Praxelis clematidea,wcvp,Accepted,3131278,Asteraceae,Asterales
Praxelis diffusa,Praxelis diffusa,wcvp,Accepted,3131296,Asteraceae,Asterales
Pseudelephantopus spiralis,Pseudelephantopus spiralis,wcvp,Accepted,3054014,Asteraceae,Asterales
Pterocaulon alopecuroides,Pterocaulon alopecuroides,wcvp,Accepted,3114813,Asteraceae,Asterales
Rolandra fruticosa,Rolandra fruticosa,wcvp,Accepted,3054097,Asteraceae,Asterales
Senecio brasiliensis,Senecio brasiliensis,wcvp,Accepted,3080357,Asteraceae,Asterales
Senecio stigophlebius,Senecio stigophlebius,wcvp,Accepted,3083223,Asteraceae,Asterales
Sphagneticola trilobata,Sphagneticola trilobata,wcvp,Accepted,3122192,Asteraceae,Asterales
Stenocephalum tragiifolium,Stenocephalum tragiifolium,wcvp,Accepted,3052027,Asteraceae,Asterales
Stenopadus aracaensis,Stenopadus aracaensis,wcvp,Accepted,3037101,Asteraceae,Asterales
Stenopadus talaumifolius,Stenopadus talaumifolius,wcvp,Accepted,3037125,Asteraceae,Asterales
Stifftia uniflora,Stifftia uniflora,wcvp,Accepted,3037013,Asteraceae,Asterales
Struchium sparganophorum,Struchium sparganophorum,wcvp,Accepted,3052067,Asteraceae,Asterales
Tessaria integrifolia,Tessaria integrifolia,wcvp,Accepted,3115221,Asteraceae,Asterales
Tilesia baccata,Tilesia baccata,wcvp,Accepted,3122221,Asteraceae,Asterales
Tithonia diversifolia,Tithonia diversifolia,wcvp,Accepted,3122688,Asteraceae,Asterales
Trichospira verticillata,Trichospira verticillata,wcvp,Accepted,3055801,Asteraceae,Asterales
Tridax procumbens,Tridax procumbens,wcvp,Accepted,3124823,Asteraceae,Asterales
Unxia camphorata,Unxia camphorata,wcvp,Accepted,3125522,Asteraceae,Asterales
Unxia suffruticosa,Unxia suffruticosa,wcvp,Accepted,3125808,Asteraceae,Asterales
Urolepis hecatantha,Urolepis hecatantha,wcvp,Accepted,3131436,Asteraceae,Asterales
Vernonanthura brasiliana,Vernonanthura brasiliana,wcvp,Accepted,3052102,Asteraceae,Asterales
Vernonanthura membranacea,Vernonanthura membranacea,wcvp,Accepted,3052213,Asteraceae,Asterales
Vernonanthura patens,Vernonanthura patens,wcvp,Accepted,3052283,Asteraceae,Asterales
Vernonanthura phosphorica,Vernonanthura phosphorica,wcvp,Accepted,3052297,Asteraceae,Asterales
Vernonanthura rubriramea,Vernonanthura rubriramea,wcvp,Accepted,3052319,Asteraceae,Asterales
Vernonanthura yurimaguasensis,Vernonanthura patens,wcvp,Synonym,3052283,Asteraceae,Asterales
Wedelia calycina,Wedelia calycina,wcvp,Accepted,3121316,Asteraceae,Asterales
Wedelia montevidensis,Wedelia montevidensis,wcvp,Accepted,3121496,Asteraceae,Asterales
Wedelia rudis,Wedelia rudis,wcvp,Accepted,3121541,Asteraceae,Asterales
Wulffia baccata,Tilesia baccata,wcvp,Synonym,3122221,Asteraceae,Asterales
Xanthium strumarium,Xanthium strumarium,wcvp,Accepted,2901779,Asteraceae,Asterales
Xiphochaeta aquatica,Xiphochaeta aquatica,wcvp,Accepted,3051420,Asteraceae,Asterales
Zinnia elegans,Zinnia elegans,wcvp,Accepted,3124749,Asteraceae,Asterales
Zinnia peruviana,Zinnia peruviana,wcvp,Accepted,3124740,Asteraceae,Asterales
Helosis cayennensis,Helosis cayennensis,wcvp,Accepted,2844928,Balanophoraceae,Santalales
Impatiens walleriana,Impatiens walleriana,wcvp,Accepted,2863395,Balsaminaceae,Ericales
Anredera cordifolia,Anredera cordifolia,wcvp,Accepted,360634,Basellaceae,Caryophyllales
Batis maritima,Batis maritima,wcvp,Accepted,20126,Bataceae,Brassicales
Begonia convolvulacea,Begonia convolvulacea,wcvp,Accepted,361314,Begoniaceae,Cucurbitales
Begonia fischeri,Begonia fischeri,wcvp,Accepted,361594,Begoniaceae,Cucurbitales
Begonia glabra,Begonia glabra,wcvp,Accepted,361713,Begoniaceae,Cucurbitales
Begonia humilis,Begonia humilis,wcvp,Accepted,361895,Begoniaceae,Cucurbitales
Begonia maynensis,Begonia maynensis,wcvp,Accepted,362311,Begoniaceae,Cucurbitales
Begonia rossmanniae,Begonia rossmanniae,wcvp,Accepted,362871,Begoniaceae,Cucurbitales
Begonia semiovata,Begonia semiovata,wcvp,Accepted,362993,Begoniaceae,Cucurbitales
Begonia subvillosa,Begonia subvillosa,wcvp,Accepted,363149,Begoniaceae,Cucurbitales
Adenocalymma adenophorum,Adenocalymma adenophorum,wcvp,Accepted,320890,Bignoniaceae,Lamiales
Adenocalymma albiflorum,Adenocalymma albiflorum,wcvp,Accepted,539886,Bignoniaceae,Lamiales
Adenocalymma allamandiflorum,Adenocalymma allamandiflorum,wcvp,Accepted,320892,Bignoniaceae,Lamiales
Adenocalymma apurense,Adenocalymma apurense,wcvp,Accepted,319322,Bignoniaceae,Lamiales
Adenocalymma bracteolatum,Adenocalymma bracteolatum,wcvp,Accepted,319329,Bignoniaceae,Lamiales
Adenocalymma bracteosum,Adenocalymma bracteosum,wcvp,Accepted,320902,Bignoniaceae,Lamiales
Adenocalymma cidii,Adenocalymma cidii,wcvp,Accepted,320904,Bignoniaceae,Lamiales
Adenocalymma cladotrichum,Adenocalymma cladotrichum,wcvp,Accepted,320886,Bignoniaceae,Lamiales
Adenocalymma croatii,Adenocalymma croatii,wcvp,Accepted,320906,Bignoniaceae,Lamiales
Adenocalymma flaviflorum,Adenocalymma flaviflorum,wcvp,Accepted,320895,Bignoniaceae,Lamiales
Adenocalymma impressum,Adenocalymma impressum,wcvp,Accepted,319373,Bignoniaceae,Lamiales
Adenocalymma inundatum,Adenocalymma inundatum,wcvp,Accepted,319374,Bignoniaceae,Lamiales
Adenocalymma juliae,Adenocalymma juliae,wcvp,Accepted,320908,Bignoniaceae,Lamiales
Adenocalymma longilineum,Adenocalymma longilineum,wcvp,Accepted,320909,Bignoniaceae,Lamiales
Adenocalymma magnificum,Adenocalymma magnificum,wcvp,Accepted,319389,Bignoniaceae,Lamiales
Adenocalymma marginatum,Adenocalymma marginatum,wcvp,Accepted,319392,Bignoniaceae,Lamiales
Adenocalymma molle,Adenocalymma molle,wcvp,Accepted,320910,Bignoniaceae,Lamiales
Adenocalymma moringifolium,Adenocalymma moringifolium,wcvp,Accepted,320911,Bignoniaceae,Lamiales
Adenocalymma patulum,Adenocalymma patulum,wcvp,Accepted,320913,Bignoniaceae,Lamiales
Adenocalymma pedunculatum,Adenocalymma pedunculatum,wcvp,Accepted,320915,Bignoniaceae,Lamiales
Adenocalymma prancei,Adenocalymma prancei,wcvp,Accepted,319409,Bignoniaceae,Lamiales
Adenocalymma purpurascens,Adenocalymma bracteolatum,wcvp,Synonym,319329,Bignoniaceae,Lamiales
Adenocalymma racemosum,Adenocalymma racemosum,wcvp,Accepted,320919,Bignoniaceae,Lamiales
Adenocalymma saulense,Adenocalymma saulense,wcvp,Accepted,319418,Bignoniaceae,Lamiales
Adenocalymma schomburgkii,Adenocalymma schomburgkii,wcvp,Accepted,320921,Bignoniaceae,Lamiales
Adenocalymma subincanum,Adenocalymma subincanum,wcvp,Accepted,319428,Bignoniaceae,Lamiales
Adenocalymma tanaeciicarpum,Adenocalymma tanaeciicarpum,wcvp,Accepted,320922,Bignoniaceae,Lamiales
Adenocalymma validum,Adenocalymma validum,wcvp,Accepted,316979,Bignoniaceae,Lamiales
Amphilophium aschersonii,Amphilophium aschersonii,wcvp,Accepted,319448,Bignoniaceae,Lamiales
Amphilophium campinae,Amphilophium campinae,wcvp,Accepted,486865,Bignoniaceae,Lamiales
Amphilophium crucigerum,Amphilophium crucigerum,wcvp,Accepted,320940,Bignoniaceae,Lamiales
Amphilophium cuneifolium,Amphilophium cuneifolium,wcvp,Accepted,320941,Bignoniaceae,Lamiales
Amphilophium dasytrichum,Amphilophium dasytrichum,wcvp,Accepted,320943,Bignoniaceae,Lamiales
Amphilophium elongatum,Amphilophium elongatum,wcvp,Accepted,320945,Bignoniaceae,Lamiales
Amphilophium granulosum,Amphilophium granulosum,wcvp,Accepted,320949,Bignoniaceae,Lamiales
Amphilophium lohmanniae,Amphilophium lohmanniae,wcvp,Accepted,486867,Bignoniaceae,Lamiales
Amphilophium magnoliifolium,Amphilophium magnoliifolium,wcvp,Accepted,320953,Bignoniaceae,Lamiales
Amphilophium mansoanum,Amphilophium mansoanum,wcvp,Accepted,320954,Bignoniaceae,Lamiales
Amphilophium obovatum,Amphilophium obovatum,wcvp,Accepted,320956,Bignoniaceae,Lamiales
Amphilophium paniculatum,Amphilophium paniculatum,wcvp,Accepted,319459,Bignoniaceae,Lamiales
Amphilophium parkeri,Amphilophium parkeri,wcvp,Accepted,320958,Bignoniaceae,Lamiales
Amphilophium pulverulentum,Amphilophium pulverulentum,wcvp,Accepted,320960,Bignoniaceae,Lamiales
Amphilophium racemosum,Amphilophium racemosum,wcvp,Accepted,486871,Bignoniaceae,Lamiales
Amphilophium reticulatum,Amphilophium reticulatum,wcvp,Accepted,320961,Bignoniaceae,Lamiales
Amphilophium rodriguesii,Amphilophium rodriguesii,wcvp,Accepted,320962,Bignoniaceae,Lamiales
Amphilophium scabriusculum,Amphilophium scabriusculum,wcvp,Accepted,320963,Bignoniaceae,Lamiales
Anemopaegma chrysoleucum,Anemopaegma chrysoleucum,wcvp,Accepted,319507,Bignoniaceae,Lamiales
Anemopaegma floridum,Anemopaegma floridum,wcvp,Accepted,319516,Bignoniaceae,Lamiales
Anemopaegma foetidum,Anemopaegma foetidum,wcvp,Accepted,319517,Bignoniaceae,Lamiales
Anemopaegma insculptum,Anemopaegma insculptum,wcvp,Accepted,319527,Bignoniaceae,Lamiales
